행정동_명칭,행정동_ID,승객_수,승객_수_00시,승객_수_01시,승객_수_02시,승객_수_03시,승객_수_04시,승객_수_05시,승객_수_06시,승객_수_07시,승객_수_08시,승객_수_09시,승객_수_10시,승객_수_11시,승객_수_12시,승객_수_13시,승객_수_14시,승객_수_15시,승객_수_16시,승객_수_17시,승객_수_18시,승객_수_19시,승객_수_20시,승객_수_21시,승객_수_22시,승객_수_23시
노량진1동,407706208,20354636.0,62406.0,3944.0,2488.0,2811.0,37044.0,377064.0,587532.0,1476044.0,2040943.0,1221117.0,863894.0,846389.0,953678.0,1030309.0,952692.0,974928.0,1127261.0,1413849.0,1715407.0,1131499.0,961420.0,1088435.0,1047568.0,435914.0
노량진2동,407698928,4527840.0,30980.0,4802.0,2914.0,2814.0,18662.0,52455.0,97276.0,195025.0,282678.0,213136.0,184557.0,190793.0,207720.0,223503.0,225623.0,248754.0,282484.0,338845.0,445766.0,326100.0,248767.0,275373.0,306831.0,121982.0
녹번동,404786564,10514890.0,21006.0,5214.0,2448.0,1453.0,33858.0,196487.0,481118.0,1261862.0,1397179.0,874628.0,613549.0,537745.0,550159.0,530524.0,494169.0,491784.0,523557.0,561960.0,647800.0,404740.0,296575.0,274288.0,217350.0,95437.0
논현1동,408790928,22841561.0,132615.0,23481.0,16670.0,14730.0,32065.0,151845.0,261964.0,562400.0,953907.0,889196.0,694224.0,729161.0,834993.0,942437.0,1084526.0,1275653.0,1504523.0,2182745.0,3312040.0,2132174.0,1491204.0,1642644.0,1333683.0,642681.0
논현2동,408791292,18207161.0,47253.0,884.0,0.0,0.0,9869.0,79806.0,186086.0,385429.0,695418.0,622084.0,462538.0,504079.0,594897.0,684542.0,816960.0,1000247.0,1208749.0,1920532.0,3651391.0,1949466.0,1135259.0,1126446.0,811984.0,313242.0
능동,402241476,15706017.0,52486.0,10324.0,5640.0,4299.0,21473.0,277591.0,457820.0,1141003.0,1759710.0,1079691.0,668317.0,651329.0,715660.0,752981.0,751650.0,828928.0,992638.0,1226097.0,1381689.0,815660.0,651077.0,661538.0,533954.0,264462.0
다산동,401153480,1230177.0,6697.0,5235.0,2817.0,2312.0,8295.0,28666.0,43010.0,97927.0,132196.0,100326.0,67420.0,60991.0,66430.0,70319.0,66983.0,65701.0,68601.0,68925.0,72447.0,54188.0,43634.0,41900.0,34529.0,20628.0
답십리1동,402617124,2499480.0,5184.0,92.0,0.0,0.0,14265.0,51824.0,99557.0,240035.0,292619.0,186660.0,133841.0,121891.0,128300.0,134321.0,123390.0,124474.0,135862.0,149007.0,180372.0,125084.0,83586.0,77291.0,61708.0,30117.0
답십리2동,402615304,3579384.0,11236.0,1172.0,784.0,1617.0,37267.0,84986.0,134207.0,299214.0,369063.0,233895.0,188757.0,169647.0,184764.0,191465.0,181172.0,184078.0,195503.0,229273.0,279521.0,198810.0,131955.0,120948.0,98667.0,51383.0
당산1동,407336020,10577106.0,28020.0,2657.0,1336.0,1042.0,13065.0,102314.0,211876.0,618193.0,808380.0,506714.0,406485.0,434015.0,472269.0,490257.0,522669.0,567661.0,660561.0,937588.0,1699094.0,639142.0,476207.0,469780.0,346547.0,161234.0
