구,동,평균직장인구
관악구,낙성대동,48.0
관악구,청룡동,63.0
관악구,은천동,66.83333333333334
관악구,중앙동,44.83333333333333
관악구,인헌동,41.0
관악구,남현동,11.166666666666668
관악구,서원동,49.33333333333333
관악구,신원동,17.333333333333336
관악구,서림동,17.5
관악구,신사동,53.333333333333336
관악구,신림동,47.5
관악구,난향동,18.166666666666664
관악구,조원동,55.16666666666667
관악구,대학동,3.5
관악구,삼성동,6.0
관악구,미성동,26.333333333333336
관악구,난곡동,13.833333333333332
서초구,서초1동,277.33333333333337
서초구,서초2동,524.3333333333333
서초구,서초3동,246.5
서초구,서초4동,356.66666666666663
서초구,잠원동,106.16666666666666
서초구,반포본동,80.5
서초구,반포1동,81.5
서초구,반포2동,48.66666666666666
서초구,반포3동,64.33333333333334
서초구,반포4동,300.66666666666663
서초구,방배본동,256.0
서초구,방배1동,203.5
서초구,방배2동,88.0
서초구,방배3동,57.0
서초구,방배4동,175.16666666666669
서초구,양재1동,65.5
서초구,양재2동,137.83333333333334
서초구,내곡동,5.666666666666666
강남구,신사동,178.16666666666669
강남구,논현1동,353.33333333333337
강남구,논현2동,426.83333333333337
강남구,압구정동,182.16666666666669
강남구,청담동,250.66666666666663
강남구,삼성1동,581.6666666666667
강남구,삼성2동,446.5
강남구,대치1동,180.33333333333331
강남구,대치2동,389.5
강남구,대치4동,439.1666666666666
강남구,역삼1동,787.8333333333333
강남구,역삼2동,486.6666666666667
강남구,도곡1동,339.0
강남구,도곡2동,1115.0
강남구,개포1동,79.66666666666667
강남구,개포2동,31.166666666666668
강남구,개포4동,63.33333333333333
강남구,세곡동,6.0
강남구,일원본동,97.0
강남구,일원1동,32.5
강남구,일원2동,96.83333333333331
강남구,수서동,106.0
송파구,풍납1동,15.333333333333334
송파구,풍납2동,64.0
송파구,거여1동,74.66666666666666
송파구,거여2동,52.0
송파구,마천1동,20.666666666666664
송파구,마천2동,31.833333333333336
송파구,방이1동,138.16666666666669
송파구,방이2동,240.33333333333331
송파구,오륜동,49.5
송파구,오금동,125.33333333333331
송파구,송파1동,140.33333333333331
송파구,송파2동,152.66666666666669
송파구,석촌동,102.16666666666666
송파구,삼전동,77.5
송파구,가락본동,261.66666666666663
송파구,가락1동,62.16666666666667
송파구,가락2동,89.0
송파구,문정1동,314.8333333333333
송파구,문정2동,191.66666666666669
송파구,장지동,60.16666666666667
송파구,위례동,7.333333333333334
송파구,잠실본동,103.83333333333334
송파구,잠실2동,19.5
송파구,잠실3동,86.0
송파구,잠실4동,64.0
송파구,잠실6동,510.5
송파구,잠실7동,74.5
강동구,강일동,30.5
강동구,상일동,20.0
강동구,명일1동,52.33333333333333
강동구,명일2동,27.0
강동구,고덕1동,9.666666666666668
강동구,고덕2동,7.833333333333333
강동구,암사1동,45.66666666666667
강동구,암사2동,10.666666666666668
강동구,암사3동,12.0
강동구,천호1동,41.33333333333333
강동구,천호2동,33.5
강동구,천호3동,66.83333333333333
강동구,성내1동,261.8333333333333
강동구,성내2동,81.66666666666666
강동구,성내3동,89.33333333333334
강동구,길동,64.83333333333333
강동구,둔촌1동,10.0
강동구,둔촌2동,46.16666666666667
종로구,청운효자동,44.0
종로구,사직동,410.0
종로구,삼청동,42.0
종로구,부암동,19.0
종로구,평창동,28.0
종로구,무악동,13.0
종로구,교남동,30.0
종로구,가회동,208.0
종로구,종로1.2.3.4가동,401.0
종로구,종로5.6가동,260.0
종로구,이화동,58.0
종로구,혜화동,65.0
종로구,창신1동,44.0
종로구,창신2동,13.0
종로구,창신3동,14.0
종로구,숭인1동,19.0
종로구,숭인2동,54.0
중구,소공동,845.0
중구,회현동,646.0
중구,명동,733.0
중구,필동,119.0
중구,장충동,103.0
중구,광희동,571.0
중구,을지로동,259.0
중구,신당동,60.0
중구,다산동,123.0
중구,약수동,347.0
중구,청구동,90.0
중구,신당5동,29.0
중구,동화동,46.0
중구,황학동,52.0
중구,중림동,89.0
용산구,후암동,27.0
용산구,용산2가동,9.0
용산구,남영동,269.0
용산구,청파동,71.0
용산구,원효로1동,78.0
용산구,원효로2동,51.0
용산구,효창동,35.0
용산구,용문동,93.0
용산구,한강로동,139.0
용산구,이촌1동,51.0
용산구,이촌2동,24.0
용산구,이태원1동,225.0
용산구,이태원2동,14.0
용산구,한남동,131.0
용산구,서빙고동,67.0
용산구,보광동,12.0
성동구,왕십리2동,33.0
성동구,왕십리도선동,83.0
성동구,마장동,71.0
성동구,사근동,22.0
