,연도,구별,동별,인구밀도
714,2019,강서구,화곡4동,26883
715,2019,강서구,화곡6동,22427
716,2019,강서구,화곡8동,50017
717,2019,강서구,가양1동,7267
718,2019,강서구,가양2동,15140
719,2019,강서구,가양3동,16363
720,2019,강서구,발산1동,13009
721,2019,강서구,공항동,2600
722,2019,강서구,방화1동,43912
723,2019,강서구,방화2동,3752
724,2019,강서구,방화3동,10280
725,2019,강서구,화곡1동,48716
726,2019,강서구,우장산동,32947
728,2019,구로구,신도림동,25298
729,2019,구로구,구로1동,21664
730,2019,구로구,구로3동,25775
731,2019,구로구,구로4동,56998
732,2019,구로구,구로5동,32452
733,2019,구로구,고척1동,20847
734,2019,구로구,고척2동,28382
735,2019,구로구,개봉2동,41295
736,2019,구로구,개봉3동,27167
737,2019,구로구,오류1동,39483
738,2019,구로구,수궁동,9322
739,2019,구로구,가리봉동,38125
740,2019,구로구,구로2동,20005
741,2019,구로구,개봉1동,25828
742,2019,구로구,오류2동,11630
744,2019,금천구,가산동,9704
745,2019,금천구,독산1동,20976
746,2019,금천구,독산2동,35675
747,2019,금천구,독산3동,32517
748,2019,금천구,독산4동,30893
749,2019,금천구,시흥1동,21465
750,2019,금천구,시흥2동,17983
751,2019,금천구,시흥3동,10770
752,2019,금천구,시흥4동,25536
753,2019,금천구,시흥5동,15016
755,2019,영등포구,여의동,4119
756,2019,영등포구,당산1동,28699
757,2019,영등포구,당산2동,23435
758,2019,영등포구,양평1동,20753
759,2019,영등포구,양평2동,7601
760,2019,영등포구,신길1동,29924
761,2019,영등포구,신길3동,36013
762,2019,영등포구,신길4동,28529
763,2019,영등포구,신길5동,22702
764,2019,영등포구,신길6동,28579
765,2019,영등포구,신길7동,26680
766,2019,영등포구,대림1동,33331
767,2019,영등포구,대림2동,38855
768,2019,영등포구,대림3동,30145
769,2019,영등포구,영등포본동,24326
770,2019,영등포구,영등포동,21560
771,2019,영등포구,도림동,24216
772,2019,영등포구,문래동,21452
774,2019,동작구,노량진2동,21545
775,2019,동작구,상도1동,31889
776,2019,동작구,상도2동,29867
777,2019,동작구,상도3동,43402
778,2019,동작구,상도4동,39857
779,2019,동작구,사당1동,30413
780,2019,동작구,사당3동,28298
781,2019,동작구,사당4동,39266
782,2019,동작구,사당5동,22607
783,2019,동작구,대방동,25921
784,2019,동작구,신대방1동,42902
785,2019,동작구,신대방2동,20116
786,2019,동작구,흑석동,21161
787,2019,동작구,노량진1동,20609
788,2019,동작구,사당2동,10287
790,2019,관악구,보라매동,34863
791,2019,관악구,청림동,54287
792,2019,관악구,행운동,41751
793,2019,관악구,낙성대동,7763
794,2019,관악구,중앙동,40756
