구별,동별,연도,면적
서초구,방배2동,2018,1.93
서초구,방배2동,2019,1.93
서초구,방배2동,2020,1.93
서초구,방배2동,2021,1.93
서초구,방배2동,2022,1.93
서초구,방배3동,2018,2.4
서초구,방배3동,2019,2.4
서초구,방배3동,2020,2.4
서초구,방배3동,2021,2.4
서초구,방배3동,2022,2.4
서초구,방배4동,2018,0.98
서초구,방배4동,2019,0.98
서초구,방배4동,2020,0.98
서초구,방배4동,2021,0.98
서초구,방배4동,2022,0.98
서초구,방배본동,2018,0.67
서초구,방배본동,2019,0.67
서초구,방배본동,2020,0.67
서초구,방배본동,2021,0.67
서초구,방배본동,2022,0.67
서초구,서초1동,2018,1.42
서초구,서초1동,2019,1.42
서초구,서초1동,2020,1.42
서초구,서초1동,2021,1.42
서초구,서초1동,2022,1.42
서초구,서초2동,2018,1.24
서초구,서초2동,2019,1.24
서초구,서초2동,2020,1.24
서초구,서초2동,2021,1.24
서초구,서초2동,2022,1.24
서초구,서초3동,2018,2.93
서초구,서초3동,2019,2.93
서초구,서초3동,2020,2.93
서초구,서초3동,2021,2.93
서초구,서초3동,2022,2.93
서초구,서초4동,2018,0.88
서초구,서초4동,2019,0.88
서초구,서초4동,2020,0.88
서초구,서초4동,2021,0.88
서초구,서초4동,2022,0.88
서초구,양재1동,2018,5.76
서초구,양재1동,2019,5.76
서초구,양재1동,2020,5.76
서초구,양재1동,2021,5.76
서초구,양재1동,2022,5.76
서초구,양재2동,2018,7.58
서초구,양재2동,2019,7.58
서초구,양재2동,2020,7.58
서초구,양재2동,2021,7.58
서초구,양재2동,2022,7.58
서초구,잠원동,2018,1.76
서초구,잠원동,2019,1.76
서초구,잠원동,2020,1.76
서초구,잠원동,2021,1.76
서초구,잠원동,2022,1.76
성동구,금호1가동,2018,0.46
성동구,금호1가동,2019,0.46
성동구,금호1가동,2020,0.46
성동구,금호1가동,2021,0.46
성동구,금호1가동,2022,0.46
성동구,금호2.3가동,2018,0.64
성동구,금호2.3가동,2019,0.64
성동구,금호2.3가동,2020,0.64
성동구,금호2.3가동,2021,0.64
성동구,금호2.3가동,2022,0.64
성동구,금호4가동,2018,0.84
성동구,금호4가동,2019,0.84
성동구,금호4가동,2020,0.84
성동구,금호4가동,2021,0.84
성동구,금호4가동,2022,0.84
성동구,마장동,2018,1.06
성동구,마장동,2019,1.05
성동구,마장동,2020,1.05
성동구,마장동,2021,1.05
성동구,마장동,2022,1.05
성동구,사근동,2018,1.11
성동구,사근동,2019,1.1
성동구,사근동,2020,1.1
성동구,사근동,2021,1.1
성동구,사근동,2022,1.1
성동구,성수1가1동,2018,1.98
성동구,성수1가1동,2019,1.98
성동구,성수1가1동,2020,1.97
성동구,성수1가1동,2021,1.97
성동구,성수1가1동,2022,1.97
성동구,성수1가2동,2018,0.89
성동구,성수1가2동,2019,0.89
성동구,성수1가2동,2020,0.89
성동구,성수1가2동,2021,0.89
성동구,성수1가2동,2022,0.89
성동구,성수2가1동,2018,1.18
성동구,성수2가1동,2019,1.18
성동구,성수2가1동,2020,1.17
성동구,성수2가1동,2021,1.17
성동구,성수2가1동,2022,1.17
성동구,성수2가3동,2018,1.03
성동구,성수2가3동,2019,1.03
성동구,성수2가3동,2020,1.03
성동구,성수2가3동,2021,1.03
성동구,성수2가3동,2022,1.03
성동구,송정동,2018,0.68
성동구,송정동,2019,0.75
성동구,송정동,2020,0.75
성동구,송정동,2021,0.75
성동구,송정동,2022,0.75
성동구,옥수동,2018,1.95
성동구,옥수동,2019,1.95
성동구,옥수동,2020,1.94
성동구,옥수동,2021,1.94
성동구,옥수동,2022,1.94
성동구,왕십리2동,2018,0.41
성동구,왕십리2동,2019,0.41
