"시점","동별(1)",동별(2),동별(3),인구 (명),면적 (㎢),인구밀도 (명/㎢)
"2019","합계",종로구,숭인2동,9902,0.35,28291
"2019","합계",종로구,청운효자동,12981,2.57,5051
"2019","합계",종로구,혜화동,20435,1.12,18246
"2019","합계",중구,소계,136488,9.96,13704
"2019","합계",중구,소공동,3059,0.95,3220
"2019","합계",중구,회현동,5850,0.84,6964
"2019","합계",중구,명동,3567,0.99,3603
"2019","합계",중구,필동,5020,1.14,4404
"2019","합계",중구,장충동,5628,1.36,4138
"2019","합계",중구,광희동,6284,0.74,8492
"2019","합계",중구,을지로동,2007,0.60,3345
"2019","합계",중구,신당5동,10929,0.39,28023
"2019","합계",중구,황학동,13689,0.33,41482
