,구,동,평균거주인구
394,송파구,가락1동,6.5
395,송파구,가락2동,366.83333333333337
396,송파구,문정1동,358.5
397,송파구,문정2동,116.33333333333334
398,송파구,장지동,271.66666666666663
399,송파구,위례동,101.83333333333334
400,송파구,잠실본동,257.6666666666667
401,송파구,잠실2동,130.0
402,송파구,잠실3동,222.5
403,송파구,잠실4동,366.16666666666663
404,송파구,잠실6동,120.83333333333334
405,송파구,잠실7동,154.83333333333331
406,강동구,강일동,89.83333333333334
407,강동구,상일동,56.5
408,강동구,명일1동,329.5
409,강동구,명일2동,192.83333333333331
410,강동구,고덕1동,142.5
411,강동구,고덕2동,33.5
412,강동구,암사1동,512.6666666666666
413,강동구,암사2동,63.5
414,강동구,암사3동,104.33333333333334
415,강동구,천호1동,442.16666666666663
416,강동구,천호2동,194.5
417,강동구,천호3동,462.33333333333337
418,강동구,성내1동,320.83333333333337
419,강동구,성내2동,406.0
420,강동구,성내3동,371.16666666666663
421,강동구,길동,312.0
422,강동구,둔촌1동,43.333333333333336
423,강동구,둔촌2동,179.83333333333331
