,건축물 대장 코드,동이름,건물이름,도로주소,용도,건축면적,대지면적
195,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
196,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
197,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
198,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
199,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
200,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
201,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
202,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
203,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
204,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
205,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
206,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
207,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
208,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
209,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
210,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
211,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
212,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
213,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
214,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
215,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
216,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
217,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
218,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
219,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
220,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
221,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
222,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
223,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
224,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
225,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
226,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
