역명,승차총승객수,하차총승객수
버티고개,809,986
한강진,4733,5372
이태원,7271,6801
녹사평(용산구청),2831,2791
삼각지,2536,2135
효창공원앞,2712,2467
공덕,5531,5440
대흥(서강대앞),2953,3301
광흥창(서강),3415,3501
상수,4789,5742
합정,7529,6658
망원,7652,8426
마포구청,5788,5772
월드컵경기장(성산),2599,2599
디지털미디어시티,4125,4423
증산(명지대앞),4621,4830
새절(신사),5473,5506
구산,3210,2523
독바위,1230,1526
불광,2574,2272
역촌,1735,2022
응암,7938,8201
하남검단산,3779,3697
하남시청(덕풍·신장),3379,3183
하남풍산,1777,1910
미사,7374,7698
강일,1711,1693
마천,2957,3137
거여,3498,3420
개롱,2464,2753
오금,1233,1225
방이,3319,3278
올림픽공원(한국체대),2184,1984
둔촌동,3975,4068
상일동,5747,5574
고덕,3760,3853
명일,4168,4373
굽은다리(강동구민회관앞),4832,4654
길동,3642,3824
강동,7051,7495
천호(풍납토성),11082,10250
광나루(장신대),6287,6123
아차산(어린이대공원후문),8733,8893
군자(능동),5014,5587
장한평,6526,7026
답십리,6445,6300
마장,2334,2271
왕십리(성동구청),2279,2650
행당,3243,3039
신금호,2577,2888
청구,1558,1378
동대문역사문화공원(DDP),667,781
을지로4가,1127,1201
종로3가,6867,6228
광화문(세종문화회관),8709,8581
서대문,4268,4308
충정로(경기대입구),1170,1231
애오개,2221,2318
공덕,3612,3701
마포,3830,4046
여의나루,4297,5071
여의도,6590,6657
신길,1439,1871
영등포시장,3770,4313
영등포구청,1142,1214
양평,2168,2434
오목교(목동운동장앞),10065,10408
목동,6407,6795
신정(은행정),5395,5120
까치산,13229,13561
화곡,12405,11732
우장산,5974,6091
발산,7448,8020
마곡,3030,3254
송정,3175,3281
김포공항,7284,6233
개화산,2333,2414
방화,3244,3285
쌍문,13439,12423
창동,12796,13175
상계,8935,8228
당고개,6569,6249
남태령,510,430
사당,11615,11338
총신대입구(이수),8233,9125
동작(현충원),681,749
이촌(국립중앙박물관),4012,4528
신용산,7628,6981
삼각지,1974,2515
숙대입구(갈월),5667,5564
서울역,3227,7255
회현(남대문시장),9036,9104
명동,11202,11327
충무로,6031,6199
동대문역사문화공원(DDP),7350,6273
동대문,5094,5173
혜화,17491,18280
한성대입구(삼선교),6097,6353
