날짜,건국대학교병원,건국대학교사범대학부속중학교,뚝섬1주차장,뚝섬2주차장,뚝섬3주차장,뚝섬4주차장,래미안프리미어팰리스주차장,보건복지행정타운,성진강변스파랜드,스테이더디자이너스군자오피스텔주차장,실로암사우나중곡점주차장,연한빌딩,와이엠프라젠스파,편안한요양병원
04-19-05,32.32169954476479,90.0,37.3134328358209,12.640449438202248,17.857142857142858,30.14705882352941,0.0,100.0,94.9640287769784,76.0,36.92307692307693,2.127659574468085,2.985074626865672,35.38461538461539
04-19-06,33.0804248861912,90.0,32.83582089552239,14.04494382022472,19.642857142857142,30.88235294117647,0.0,100.0,94.9640287769784,76.0,43.07692307692308,4.25531914893617,10.44776119402985,35.38461538461539
04-19-07,46.4339908952959,90.0,41.7910447761194,25.280898876404496,23.214285714285715,37.5,0.0,100.0,94.9640287769784,76.0,61.53846153846154,10.638297872340424,8.955223880597014,38.46153846153847
04-19-08,54.3247344461305,90.0,0.0,0.0,19.642857142857142,37.5,0.0,100.0,94.9640287769784,76.0,73.84615384615385,8.51063829787234,2.985074626865672,44.61538461538462
04-19-09,74.65857359635811,90.0,61.19402985074627,27.247191011235955,28.57142857142857,49.26470588235294,0.0,100.0,94.9640287769784,76.0,52.30769230769232,21.27659574468085,0.0,56.92307692307692
04-19-10,87.25341426403642,90.0,56.71641791044776,27.247191011235955,30.35714285714285,56.61764705882353,0.0,100.0,94.9640287769784,76.0,46.15384615384615,40.42553191489361,0.0,56.92307692307692
04-19-11,87.70864946889226,90.0,64.17910447761194,28.651685393258425,35.714285714285715,61.76470588235294,0.0,100.0,94.9640287769784,76.0,49.23076923076923,31.91489361702128,7.462686567164178,60.0
04-19-12,82.85280728376327,90.0,68.65671641791045,31.741573033707866,42.85714285714285,75.73529411764706,0.0,100.0,94.9640287769784,76.0,44.61538461538462,42.5531914893617,7.462686567164178,58.46153846153847
04-19-13,85.12898330804249,90.0,61.19402985074627,35.674157303370784,57.14285714285714,89.70588235294117,0.0,100.0,94.9640287769784,76.0,58.46153846153847,29.78723404255319,5.472636815920398,53.84615384615385
04-19-14,86.49468892261002,90.0,67.16417910447761,35.39325842696629,65.17857142857143,86.76470588235294,0.0,100.0,94.9640287769784,76.0,67.6923076923077,48.93617021276596,8.45771144278607,55.38461538461539
